base_metabolite,frequency,models_present,always_metanetx,sometimes_metanetx,standardization_rate
MNXM2184,3,,TRUE,TRUE,1
MNXM227,3,,TRUE,TRUE,1
MNXM228,3,,TRUE,TRUE,1
MNXM235,3,,TRUE,TRUE,1
MNXM256,3,,TRUE,TRUE,1
MNXM306,3,,TRUE,TRUE,1
MNXM311,3,,TRUE,TRUE,1
MNXM328,3,,TRUE,TRUE,1
MNXM405,3,,TRUE,TRUE,1
MNXM408,3,,TRUE,TRUE,1
MNXM418,3,,TRUE,TRUE,1
MNXM4505,3,,TRUE,TRUE,1
MNXM46,3,,TRUE,TRUE,1
MNXM460,3,,TRUE,TRUE,1
MNXM4638,3,,TRUE,TRUE,1
MNXM533,3,,TRUE,TRUE,1
MNXM56,3,,TRUE,TRUE,1
MNXM584,3,,TRUE,TRUE,1
MNXM647,3,,TRUE,TRUE,1
MNXM662,3,,TRUE,TRUE,1
MNXM663,3,,TRUE,TRUE,1
MNXM7138,3,,TRUE,TRUE,1
MNXM726573,3,,TRUE,TRUE,1
MNXM726888,3,,TRUE,TRUE,1
MNXM727604,3,,TRUE,TRUE,1
MNXM728294,3,,TRUE,TRUE,1
MNXM729340,3,,TRUE,TRUE,1
MNXM729644,3,,TRUE,TRUE,1
MNXM731707,3,,TRUE,TRUE,1
MNXM732470,3,,TRUE,TRUE,1
MNXM733434,3,,TRUE,TRUE,1
MNXM733618,3,,TRUE,TRUE,1
MNXM734590,3,,TRUE,TRUE,1
MNXM734750,3,,TRUE,TRUE,1
MNXM735090,3,,TRUE,TRUE,1
MNXM736635,3,,TRUE,TRUE,1
MNXM736942,3,,TRUE,TRUE,1
MNXM737340,3,,TRUE,TRUE,1
MNXM737787,3,,TRUE,TRUE,1
MNXM738320,3,,TRUE,TRUE,1
MNXM738369,3,,TRUE,TRUE,1
MNXM738430,3,,TRUE,TRUE,1
MNXM738804,3,,TRUE,TRUE,1
MNXM739527,3,,TRUE,TRUE,1
MNXM740330,3,,TRUE,TRUE,1
MNXM741664,3,,TRUE,TRUE,1
MNXM80,3,,TRUE,TRUE,1
MNXM8664,3,,TRUE,TRUE,1
MNXM8667,3,,TRUE,TRUE,1
MNXM8868,3,,TRUE,TRUE,1
MNXM91519,3,,TRUE,TRUE,1
MNXM935,3,,TRUE,TRUE,1
MNXM943,3,,TRUE,TRUE,1
MNXM950,3,,TRUE,TRUE,1
MNXM1018,2,,TRUE,TRUE,1
MNXM107505,2,,TRUE,TRUE,1
MNXM1094289,2,,TRUE,TRUE,1
MNXM1101937,2,,TRUE,TRUE,1
MNXM1105731,2,,TRUE,TRUE,1
MNXM1105941,2,,TRUE,TRUE,1
MNXM1105965,2,,TRUE,TRUE,1
MNXM1107192,2,,TRUE,TRUE,1
MNXM1107213,2,,TRUE,TRUE,1
MNXM1108051,2,,TRUE,TRUE,1
MNXM112,2,,TRUE,TRUE,1
MNXM113989,2,,TRUE,TRUE,1
MNXM1148,2,,TRUE,TRUE,1
MNXM1151,2,,TRUE,TRUE,1
MNXM11814,2,,TRUE,TRUE,1
MNXM125,2,,TRUE,TRUE,1
MNXM1363718,2,,TRUE,TRUE,1
MNXM1363866,2,,TRUE,TRUE,1
MNXM1364050,2,,TRUE,TRUE,1
MNXM1364205,2,,TRUE,TRUE,1
MNXM1364246,2,,TRUE,TRUE,1
MNXM1364330,2,,TRUE,TRUE,1
MNXM1366923,2,,TRUE,TRUE,1
MNXM1369179,2,,TRUE,TRUE,1
MNXM1369404,2,,TRUE,TRUE,1
MNXM1370177,2,,TRUE,TRUE,1
MNXM1370306,2,,TRUE,TRUE,1
MNXM1370556,2,,TRUE,TRUE,1
MNXM1372754,2,,TRUE,TRUE,1
MNXM147516,2,,TRUE,TRUE,1
MNXM1484,2,,TRUE,TRUE,1
MNXM1543096,2,,TRUE,TRUE,1
MNXM1547,2,,TRUE,TRUE,1
MNXM1552,2,,TRUE,TRUE,1
MNXM1565,2,,TRUE,TRUE,1
MNXM16,2,,TRUE,TRUE,1
MNXM160,2,,TRUE,TRUE,1
MNXM162239,2,,TRUE,TRUE,1
MNXM1670,2,,TRUE,TRUE,1
MNXM1686,2,,TRUE,TRUE,1
MNXM1692,2,,TRUE,TRUE,1
MNXM169454,2,,TRUE,TRUE,1
MNXM1711,2,,TRUE,TRUE,1
MNXM1820,2,,TRUE,TRUE,1
MNXM1855,2,,TRUE,TRUE,1
MNXM18941,2,,TRUE,TRUE,1
MNXM1922,2,,TRUE,TRUE,1
MNXM204,2,,TRUE,TRUE,1
MNXM205,2,,TRUE,TRUE,1
MNXM2074,2,,TRUE,TRUE,1
MNXM2112,2,,TRUE,TRUE,1
MNXM2183,2,,TRUE,TRUE,1
MNXM2246,2,,TRUE,TRUE,1
MNXM234,2,,TRUE,TRUE,1
MNXM2474,2,,TRUE,TRUE,1
MNXM254,2,,TRUE,TRUE,1
MNXM255,2,,TRUE,TRUE,1
MNXM2598,2,,TRUE,TRUE,1
MNXM2604,2,,TRUE,TRUE,1
MNXM2683,2,,TRUE,TRUE,1
MNXM275,2,,TRUE,TRUE,1
MNXM3,2,,TRUE,TRUE,1
MNXM31,2,,TRUE,TRUE,1
MNXM314,2,,TRUE,TRUE,1
MNXM3148,2,,TRUE,TRUE,1
MNXM3150,2,,TRUE,TRUE,1
MNXM323,2,,TRUE,TRUE,1
MNXM3230,2,,TRUE,TRUE,1
MNXM331,2,,TRUE,TRUE,1
MNXM337,2,,TRUE,TRUE,1
MNXM3518,2,,TRUE,TRUE,1
MNXM35277,2,,TRUE,TRUE,1
MNXM376,2,,TRUE,TRUE,1
MNXM383,2,,TRUE,TRUE,1
MNXM394,2,,TRUE,TRUE,1
MNXM40333,2,,TRUE,TRUE,1
MNXM432,2,,TRUE,TRUE,1
MNXM440,2,,TRUE,TRUE,1
MNXM441,2,,TRUE,TRUE,1
MNXM444,2,,TRUE,TRUE,1
MNXM45,2,,TRUE,TRUE,1
MNXM4641,2,,TRUE,TRUE,1
MNXM4835,2,,TRUE,TRUE,1
MNXM490899,2,,TRUE,TRUE,1
MNXM5,2,,TRUE,TRUE,1
MNXM510,2,,TRUE,TRUE,1
MNXM53290,2,,TRUE,TRUE,1
MNXM546,2,,TRUE,TRUE,1
MNXM5476,2,,TRUE,TRUE,1
MNXM548,2,,TRUE,TRUE,1
MNXM55276,2,,TRUE,TRUE,1
MNXM55287,2,,TRUE,TRUE,1
MNXM588,2,,TRUE,TRUE,1
MNXM5928,2,,TRUE,TRUE,1
MNXM641,2,,TRUE,TRUE,1
MNXM713,2,,TRUE,TRUE,1
MNXM722790,2,,TRUE,TRUE,1
MNXM727871,2,,TRUE,TRUE,1
MNXM728029,2,,TRUE,TRUE,1
MNXM728398,2,,TRUE,TRUE,1
MNXM729871,2,,TRUE,TRUE,1
MNXM730229,2,,TRUE,TRUE,1
MNXM730561,2,,TRUE,TRUE,1
MNXM731895,2,,TRUE,TRUE,1
MNXM732471,2,,TRUE,TRUE,1
MNXM732620,2,,TRUE,TRUE,1
MNXM733031,2,,TRUE,TRUE,1
MNXM733514,2,,TRUE,TRUE,1
MNXM733912,2,,TRUE,TRUE,1
MNXM734080,2,,TRUE,TRUE,1
MNXM734859,2,,TRUE,TRUE,1
MNXM734941,2,,TRUE,TRUE,1
MNXM7354,2,,TRUE,TRUE,1
MNXM735946,2,,TRUE,TRUE,1
MNXM736619,2,,TRUE,TRUE,1
MNXM737264,2,,TRUE,TRUE,1
MNXM738128,2,,TRUE,TRUE,1
MNXM738268,2,,TRUE,TRUE,1
MNXM739586,2,,TRUE,TRUE,1
MNXM739668,2,,TRUE,TRUE,1
MNXM741002,2,,TRUE,TRUE,1
MNXM741449,2,,TRUE,TRUE,1
MNXM741693,2,,TRUE,TRUE,1
MNXM7451,2,,TRUE,TRUE,1
MNXM750,2,,TRUE,TRUE,1
MNXM8263,2,,TRUE,TRUE,1
