base_metabolite,frequency,models_present,always_metanetx,sometimes_metanetx,standardization_rate
MNXM188,1,,TRUE,TRUE,1
MNXM1932,1,,TRUE,TRUE,1
MNXM210,1,,TRUE,TRUE,1
MNXM216,1,,TRUE,TRUE,1
MNXM217,1,,TRUE,TRUE,1
MNXM2227,1,,TRUE,TRUE,1
MNXM2245,1,,TRUE,TRUE,1
MNXM2273,1,,TRUE,TRUE,1
MNXM2282,1,,TRUE,TRUE,1
MNXM2403,1,,TRUE,TRUE,1
MNXM2476,1,,TRUE,TRUE,1
MNXM2527,1,,TRUE,TRUE,1
MNXM266,1,,TRUE,TRUE,1
MNXM279,1,,TRUE,TRUE,1
MNXM2813,1,,TRUE,TRUE,1
MNXM291,1,,TRUE,TRUE,1
MNXM293,1,,TRUE,TRUE,1
MNXM2999,1,,TRUE,TRUE,1
MNXM30,1,,TRUE,TRUE,1
MNXM3060,1,,TRUE,TRUE,1
MNXM3132,1,,TRUE,TRUE,1
MNXM316,1,,TRUE,TRUE,1
MNXM320,1,,TRUE,TRUE,1
MNXM322,1,,TRUE,TRUE,1
MNXM330,1,,TRUE,TRUE,1
MNXM3300,1,,TRUE,TRUE,1
MNXM3304,1,,TRUE,TRUE,1
MNXM336,1,,TRUE,TRUE,1
MNXM3370,1,,TRUE,TRUE,1
MNXM3382,1,,TRUE,TRUE,1
MNXM345,1,,TRUE,TRUE,1
MNXM350,1,,TRUE,TRUE,1
MNXM3509,1,,TRUE,TRUE,1
MNXM3542,1,,TRUE,TRUE,1
MNXM3630,1,,TRUE,TRUE,1
MNXM36331,1,,TRUE,TRUE,1
MNXM3685,1,,TRUE,TRUE,1
MNXM371,1,,TRUE,TRUE,1
MNXM3817,1,,TRUE,TRUE,1
MNXM395,1,,TRUE,TRUE,1
MNXM398,1,,TRUE,TRUE,1
MNXM4002,1,,TRUE,TRUE,1
MNXM40073,1,,TRUE,TRUE,1
MNXM402,1,,TRUE,TRUE,1
MNXM4026,1,,TRUE,TRUE,1
MNXM40586,1,,TRUE,TRUE,1
MNXM4069,1,,TRUE,TRUE,1
MNXM416,1,,TRUE,TRUE,1
MNXM4217,1,,TRUE,TRUE,1
MNXM439,1,,TRUE,TRUE,1
MNXM4428,1,,TRUE,TRUE,1
MNXM45246,1,,TRUE,TRUE,1
MNXM4548,1,,TRUE,TRUE,1
MNXM46301,1,,TRUE,TRUE,1
MNXM46302,1,,TRUE,TRUE,1
MNXM464,1,,TRUE,TRUE,1
MNXM47483,1,,TRUE,TRUE,1
MNXM4752,1,,TRUE,TRUE,1
MNXM477,1,,TRUE,TRUE,1
MNXM479,1,,TRUE,TRUE,1
MNXM48446,1,,TRUE,TRUE,1
MNXM48488,1,,TRUE,TRUE,1
MNXM488555,1,,TRUE,TRUE,1
MNXM5043,1,,TRUE,TRUE,1
MNXM51,1,,TRUE,TRUE,1
MNXM51036,1,,TRUE,TRUE,1
MNXM5116,1,,TRUE,TRUE,1
MNXM518,1,,TRUE,TRUE,1
MNXM5188,1,,TRUE,TRUE,1
MNXM5189,1,,TRUE,TRUE,1
MNXM52342,1,,TRUE,TRUE,1
MNXM526203,1,,TRUE,TRUE,1
MNXM531639,1,,TRUE,TRUE,1
MNXM531896,1,,TRUE,TRUE,1
MNXM53489,1,,TRUE,TRUE,1
MNXM5389,1,,TRUE,TRUE,1
MNXM53947,1,,TRUE,TRUE,1
MNXM54068,1,,TRUE,TRUE,1
MNXM55183,1,,TRUE,TRUE,1
