"","taxon","Kingdom","Phylum","Class","Order","Family","Genus","accession"
"64","Clostridium sp. C2-6-12","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium",NA
"65","Bradyrhizobium sp. WSM3983","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium",NA
"66","Bacillus sp. FJAT-27225","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"67","Bacillus sp. FJAT-27225","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"68","Bacillus sp. B15-48","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"69","Bacillus sp. B15-48","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"70","Bacillus subtilis","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"71","Bacillus subtilis","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"72","Bradyrhizobium sp. G22","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium",NA
"73","Bacillus bingmayongensis","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"74","Bacillus bingmayongensis","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"75","Bacillus sp. HMF5848","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"76","Bacillus sp. HMF5848","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"77","Clostridium sp. AF27-2AA","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium",NA
"78","Clostridium beijerinckii","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium",NA
"79","Bradyrhizobium sp. URHD0069","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium",NA
"80","Rhizophagus irregularis","Eukaryota","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus",NA
"81","Staphylococcus xylosus","Bacteria","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",NA
"82","Mortierella sp. AD094","Eukaryota","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",NA
"83","Bradyrhizobium cytisi","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium",NA
"84","Mortierella sp. NVP41","Eukaryota","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",NA
"85","Clostridium sp. HBUAS56017","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium",NA
"86","Bacillus glycinifermentans","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"87","Bacillus glycinifermentans","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"88","Bacillus sp. AZ43","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"89","Bacillus sp. AZ43","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"90","Bacillus sp. Xin1","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"91","Bacillus sp. Xin1","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"92","Mortierella sp. AD031","Eukaryota","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",NA
"93","Mortierella polycephala","Eukaryota","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",NA
"94","Bacillus wudalianchiensis","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"95","Bacillus wudalianchiensis","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"96","Bradyrhizobium sp. YR681","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium",NA
"97","Bacillus sp. 1NLA3E","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"98","Bacillus sp. 1NLA3E","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"99","Bradyrhizobium diversitatis","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium",NA
"100","Nitrosomonas sp. Nm51","Bacteria","Pseudomonadota","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosomonas",NA
"101","Clostridium jeddahense","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium",NA
"102","Bacillus sp. ZZV12-4809","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"103","Bacillus sp. ZZV12-4809","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"104","Bradyrhizobium sp. CCBAU 53338","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium",NA
"105","Nitrospira lenta","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira",NA
"106","Bacillus sp. V3-13","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"107","Bacillus sp. V3-13","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"108","Nitrosomonas supralitoralis","Bacteria","Pseudomonadota","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosomonas",NA
"109","Bacillus pakistanensis","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"110","Bacillus pakistanensis","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"111","Clostridium taeniosporum","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium",NA
"112","Azotobacter salinestris","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Azotobacter",NA
"113","Bradyrhizobium aeschynomenes","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium",NA
"114","Clostridium sardiniense","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium",NA
"115","Bacillus sp. T33-2","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
