"","taxon","Kingdom","Phylum","Class","Order","Family","Genus","accession"
"2560","Sphingosinithalassobacter tenebrarum","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingosinithalassobacter",NA
"2561","Martelella sp. NC20","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Aurantimonadaceae","Martelella",NA
"2562","Enterobacter sp. SA187","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter",NA
"2563","Microtetraspora malaysiensis","Bacteria","Actinomycetota","Actinomycetes","Streptosporangiales","Streptosporangiaceae","Microtetraspora",NA
"2564","Candidatus Phosphoribacter baldrii","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Dermatophilaceae","Candidatus Phosphoribacter",NA
"2565","Candidatus Onthovicinus excrementipullorum","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Candidatus Onthovicinus",NA
"2566","Rhodococcus sp. KRD197","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Nocardiaceae","Rhodococcus",NA
"2567","Planctomyces sp. SH-PL62","Bacteria","Planctomycetota","Planctomycetia","Planctomycetales","Planctomycetaceae","Planctomyces",NA
"2568","Celeribacter ethanolicus","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Celeribacter",NA
"2569","Endozoicomonas sp. G2_1","Bacteria","Pseudomonadota","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas",NA
"2570","Burkholderia sp. Ac-20379","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia",NA
"2571","Gordonibacter urolithinfaciens","Bacteria","Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","Gordonibacter",NA
"2572","Thermus arciformis","Bacteria","Deinococcota","Deinococci","Thermales","Thermaceae","Thermus",NA
"2573","Mesorhizobium sp. B1-1-8","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Phyllobacteriaceae","Mesorhizobium",NA
"2574","Marinobacter sp. DY40_1A1","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Marinobacteraceae","Marinobacter",NA
"2575","Azospirillum tabaci","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Azospirillaceae","Azospirillum",NA
"2576","Parvicella tangerina","Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Parvicellaceae","Parvicella",NA
"2577","Flavobacterium faecale","Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"2578","Ciceribacter naphthalenivorans","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Ciceribacter",NA
"2579","Tsuneonella suprasediminis","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Tsuneonella",NA
"2580","Camillea tinctor","Eukaryota","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Camillea",NA
"2581","Arthrobacter pullicola","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Arthrobacter",NA
"2582","Phormidium sp. OSCR","Bacteria","Cyanobacteriota","Cyanophyceae","Oscillatoriales","Oscillatoriaceae","Phormidium",NA
"2583","Paenibacillus sp. JCM 10914","Bacteria","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus",NA
"2584","Clostridiales bacterium UBA1390","Bacteria","Bacillota","Clostridia","Eubacteriales","","",NA
"2585","Cnuella takakiae","Bacteria","Bacteroidota","Chitinophagia","Chitinophagales","Chitinophagaceae","Cnuella",NA
"2586","Fodinibius roseus","Bacteria","Balneolota","Balneolia","Balneolales","Balneolaceae","Fodinibius",NA
"2587","Xanthomonadales bacterium 63-13","Bacteria","Pseudomonadota","Gammaproteobacteria","Xanthomonadales","","",NA
"2588","Rubrobacter radiotolerans","Bacteria","Actinomycetota","Rubrobacteria","Rubrobacterales","Rubrobacteraceae","Rubrobacter",NA
"2589","Comamonadaceae bacterium PBBC1","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","",NA
"2590","Planococcus rifietoensis","Bacteria","Bacillota","Bacilli","Bacillales","Planococcaceae","Planococcus",NA
"2591","Umboniibacter marinipuniceus","Bacteria","Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Umboniibacter",NA
"2592","Streptomyces xylophagus","Bacteria","Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces",NA
"2593","Streptomyces xylophagus","Bacteria","Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces",NA
"2594","Martelella alba","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Aurantimonadaceae","Martelella",NA
"2595","Microcoleus sp. FACHB-53","Bacteria","Cyanobacteriota","Cyanophyceae","Oscillatoriales","Microcoleaceae","Microcoleus",NA
"2596","Sphingopyxis flava","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis",NA
"2597","Halalkalirubrum salinum","Archaea","Euryarchaeota","Halobacteria","Haloferacales","Halorubraceae","Halalkalirubrum",NA
"2598","Megamonas sp. UBA1796","Bacteria","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","Megamonas",NA
"2599","Halieaceae bacterium UBA5085","Bacteria","Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Halieaceae","",NA
"2600","Brucella tritici","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Brucellaceae","Brucella",NA
"2601","Spirochaetae bacterium HGW-Spirochaetae-3","Bacteria","Spirochaetota","","","","",NA
"2602","Enterobacter sp. 638","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter",NA
"2603","Pseudomonas lini","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"2604","Pseudomonas lini","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"2605","Pseudomonas lini","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"2606","Pseudomonas lini","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"2607","Pseudomonas lini","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"2608","Pseudomonas lini","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"2609","Methylophilus sp. TWE2","Bacteria","Pseudomonadota","Betaproteobacteria","Nitrosomonadales","Methylophilaceae","Methylophilus",NA
"2610","Cordyceps sp. RAO-2017","Eukaryota","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Cordyceps",NA
"2611","Mesorhizobium sp. M3A.F.Ca.ET.080.04.2.1","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Phyllobacteriaceae","Mesorhizobium",NA
"2612","Phyllobacterium bourgognense","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Phyllobacteriaceae","Phyllobacterium",NA
"2613","Fibrobacter succinogenes","Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","Fibrobacter",NA
"2614","Gordonia oryzae","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Gordoniaceae","Gordonia",NA
"2615","Enterobacter kobei","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter",NA
"2616","Arenibacter arenosicollis","Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Arenibacter",NA
"2617","Vibrio rumoiensis","Bacteria","Pseudomonadota","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio",NA
"2618","Bdellovibrio sp. qaytius","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Pseudobdellovibrionaceae","Bdellovibrio",NA
"2619","Neisseria arctica","Bacteria","Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria",NA
"2620","Parafrankia discariae","Bacteria","Actinomycetota","Actinomycetes","Frankiales","Frankiaceae","Parafrankia",NA
"2621","Pseudomonas guguanensis","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"2622","Pseudomonas guguanensis","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"2623","Pseudomonas guguanensis","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"2624","Pseudomonas guguanensis","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"2625","Pseudomonas guguanensis","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"2626","Pseudomonas guguanensis","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"2627","Mycobacterium innocens","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Mycobacterium",NA
"2628","Thermomonas sp. HDW16","Bacteria","Pseudomonadota","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Thermomonas",NA
"2629","Flavobacterium branchiicola","Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"2630","Paenibacillus doosanensis","Bacteria","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus",NA
"2631","Ruegeria meonggei","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Ruegeria",NA
"2632","Deinococcus actinosclerus","Bacteria","Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus",NA
"2633","Rhizobium sp. CF122","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Rhizobium",NA
"2634","Flavobacterium cyanobacteriorum","Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"2635","Virgibacillus halotolerans","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Virgibacillus",NA
"2636","Legionella santicrucis","Bacteria","Pseudomonadota","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella",NA
"2637","Rhizobium sp. RM","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Rhizobium",NA
"2638","Frigoribacterium sp. PhB116","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Microbacteriaceae","Frigoribacterium",NA
"2639","Paenibacillus allorhizosphaerae","Bacteria","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus",NA
"2640","Mycotypha africana","Eukaryota","Mucoromycota","Mucoromycetes","Mucorales","Mycotyphaceae","Mycotypha",NA
"2641","Parageobacillus thermoglucosidasius","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Parageobacillus",NA
"2642","Gluconacetobacter takamatsuzukensis","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Gluconacetobacter",NA
"2643","Parvularcula sp.","Bacteria","Pseudomonadota","Alphaproteobacteria","Parvularculales","Parvularculaceae","Parvularcula",NA
"2644","SAR116 cluster bacterium","Bacteria","Pseudomonadota","Alphaproteobacteria","","","",NA
"2645","Methylosinus sp. Ce-a6","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methylocystaceae","Methylosinus",NA
"2646","Blastococcus sp. URHD0036","Bacteria","Actinomycetota","Actinomycetes","Geodermatophilales","Geodermatophilaceae","Blastococcus",NA
"2647","Xanthomonadaceae bacterium NML93-0793","Bacteria","Pseudomonadota","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","",NA
"2648","Actinomyces wuliandei","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Actinomyces",NA
"2649","Pseudoxanthomonas winnipegensis","Bacteria","Pseudomonadota","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas",NA
"2650","Pontixanthobacter rizhaonensis","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Pontixanthobacter",NA
"2651","Tolypocladium inflatum","Eukaryota","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Tolypocladium",NA
"2652","Hyphopichia burtonii","Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Hyphopichia",NA
"2653","Ramlibacter henchirensis","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter",NA
"2654","bacterium endosymbiont of Bathymodiolus sp. 5 South","Bacteria","","","","","",NA
"2655","Streptomyces sp. NRRL S-448","Bacteria","Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces",NA
"2656","Streptomyces sp. NRRL S-448","Bacteria","Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces",NA
"2657","Roseimicrobium gellanilyticum","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Roseimicrobium",NA
"2658","Ideonella sp. A 288","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Sphaerotilaceae","Ideonella",NA
"2659","Pseudomonas sp. Irchel s3f7","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"2660","Pseudomonas sp. Irchel s3f7","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"2661","Pseudomonas sp. Irchel s3f7","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"2662","Pseudomonas sp. Irchel s3f7","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"2663","Pseudomonas sp. Irchel s3f7","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"2664","Pseudomonas sp. Irchel s3f7","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"2665","Arthrobacter sp. B3I4","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Arthrobacter",NA
"2666","Humitalea rosea","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Humitalea",NA
"2667","Exiguobacterium alkaliphilum","Bacteria","Bacillota","Bacilli","Bacillales","","Exiguobacterium",NA
"2668","uncultured Faecalibacterium sp.","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium",NA
"2669","Cytobacillus depressus","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Cytobacillus",NA
"2670","Methylacidiphilum caldifontis","Bacteria","Verrucomicrobiota","Methylacidiphilae","Methylacidiphilales","Methylacidiphilaceae","Methylacidiphilum (ex Ratnadevi et al. 2023)",NA
"2671","Duncaniella dubosii","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella",NA
"2672","Saturnispora dispora","Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Pichiaceae","Saturnispora",NA
"2673","Chryseobacterium sp. 3008163","Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium",NA
"2674","Suillus discolor","Eukaryota","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus",NA
"2675","Tepidiphilus baoligensis","Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae","Tepidiphilus",NA
"2676","Salinigranum salinum","Archaea","Euryarchaeota","Halobacteria","Haloferacales","Halorubraceae","Salinigranum",NA
"2677","Mycolicibacterium sp.","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Mycolicibacterium",NA
"2678","Stackebrandtia albiflava","Bacteria","Actinomycetota","Actinomycetes","Glycomycetales","Glycomycetaceae","Stackebrandtia",NA
"2679","Pseudonocardia parietis","Bacteria","Actinomycetota","Actinomycetes","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia",NA
"2680","Pseudomonas abietaniphila","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"2681","Pseudomonas abietaniphila","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"2682","Pseudomonas abietaniphila","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"2683","Pseudomonas abietaniphila","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"2684","Pseudomonas abietaniphila","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"2685","Pseudomonas abietaniphila","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"2686","Haloferax massiliensis","Archaea","Euryarchaeota","Halobacteria","Haloferacales","Haloferacaceae","Haloferax",NA
"2687","Winogradskyella sp.","Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Winogradskyella",NA
"2688","Mycobacterium decipiens","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Mycobacterium",NA
"2689","Ramlibacter albus","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter",NA
"2690","Actinomycetales bacterium JB111","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","","",NA
"2691","Paenibacillus arenilitoris","Bacteria","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus",NA
"2692","Paraburkholderia sabiae","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Paraburkholderia",NA
"2693","Paracoccus alcaliphilus","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Paracoccus",NA
"2694","Tolypothrix sp. NIES-4075","Bacteria","Cyanobacteriota","Cyanophyceae","Nostocales","Tolypothrichaceae","Tolypothrix",NA
"2695","Leptolyngbyaceae cyanobacterium T60_A2020_046","Bacteria","Cyanobacteriota","Cyanophyceae","Leptolyngbyales","Leptolyngbyaceae","",NA
"2696","Chitinophaga terrae (ex Kim and Jung 2007)","Bacteria","Bacteroidota","Chitinophagia","Chitinophagales","Chitinophagaceae","Chitinophaga",NA
"2697","Williamsia sp. 1135","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Nocardiaceae","Williamsia",NA
"2698","Nitratidesulfovibrio oxamicus","Bacteria","Thermodesulfobacteriota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Nitratidesulfovibrio",NA
"2699","Corynebacterium sp. TAE3-ERU12","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Corynebacteriaceae","Corynebacterium",NA
"2700","Thalassospira sp. MCCC 1A01148","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Thalassospiraceae","Thalassospira",NA
"2701","Gluconobacter sp. Dm-62","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Gluconobacter",NA
"2702","Comamonadaceae bacterium UBA2121","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","",NA
"2703","Allomuricauda oceani","Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Allomuricauda",NA
"2704","Chryseobacterium culicis","Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium",NA
"2705","Actinomadura roseirufa","Bacteria","Actinomycetota","Actinomycetes","Streptosporangiales","Thermomonosporaceae","Actinomadura",NA
"2706","Echinicola rosea","Bacteria","Bacteroidota","Cytophagia","Cytophagales","Cyclobacteriaceae","Echinicola",NA
"2707","Nocardioides jejuensis","Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae","Nocardioides",NA
"2708","Aggregatilinea lenta","Bacteria","Chloroflexota","Anaerolineae","Aggregatilineales","Aggregatilineaceae","Aggregatilinea",NA
"2709","Mucilaginibacter gossypii","Bacteria","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter",NA
"2710","Geodermatophilaceae bacterium URHA0031","Bacteria","Actinomycetota","Actinomycetes","Geodermatophilales","Geodermatophilaceae","",NA
"2711","Streptomyces sp. V4I23","Bacteria","Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces",NA
"2712","Streptomyces sp. V4I23","Bacteria","Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces",NA
"2713","Ketobacter sp.","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Ketobacteraceae","Ketobacter",NA
"2714","Violaceomyces palustris","Eukaryota","Basidiomycota","Ustilaginomycetes","Violaceomycetales","Violaceomycetaceae","Violaceomyces",NA
"2715","Labedella endophytica","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Microbacteriaceae","Labedella",NA
"2716","Desulfarculales bacterium UBA702","Bacteria","Thermodesulfobacteriota","Desulfarculia","Desulfarculales","","",NA
"2717","Jaapia argillacea","Eukaryota","Basidiomycota","Agaricomycetes","Jaapiales","Jaapiaceae","Jaapia",NA
"2718","Leisingera sp. ANG-M1","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Leisingera",NA
"2719","Pseudomonas hydrolytica","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"2720","Pseudomonas hydrolytica","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"2721","Pseudomonas hydrolytica","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"2722","Pseudomonas hydrolytica","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"2723","Pseudomonas hydrolytica","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"2724","Pseudomonas hydrolytica","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"2725","Micromonospora sp. MP36","Bacteria","Actinomycetota","Actinomycetes","Micromonosporales","Micromonosporaceae","Micromonospora",NA
"2726","Flavobacterium notoginsengisoli","Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"2727","Lysinibacillus composti","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Lysinibacillus",NA
"2728","Cryobacterium roopkundense","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Microbacteriaceae","Cryobacterium",NA
"2729","Olpidium bornovanus","Eukaryota","Olpidiomycota","Olpidiomycetes","Olpidiales","Olpidiaceae","Olpidium",NA
"2730","Pseudomonas sp. DTU12.1","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"2731","Pseudomonas sp. DTU12.1","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"2732","Pseudomonas sp. DTU12.1","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"2733","Pseudomonas sp. DTU12.1","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"2734","Pseudomonas sp. DTU12.1","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"2735","Pseudomonas sp. DTU12.1","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"2736","Arthrobacter sp. 35/47","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Arthrobacter",NA
"2737","Siccibacter colletis","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Siccibacter",NA
"2738","Acidiphilium sp. 37-60-79","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidiphilium",NA
"2739","Deltaproteobacteria bacterium RBG_16_64_85","Bacteria","","Deltaproteobacteria","","","",NA
"2740","Acetobacteraceae bacterium AT-5844","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","",NA
"2741","Halomonas sp. YLGW01","Bacteria","Pseudomonadota","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas",NA
"2742","Kineococcus rubinsiae","Bacteria","Actinomycetota","Actinomycetes","Kineosporiales","Kineosporiaceae","Kineococcus",NA
"2743","Pseudoclavibacter sp. AY1F1","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Microbacteriaceae","Pseudoclavibacter",NA
"2744","Fibrobacterota bacterium","Bacteria","Fibrobacterota","","","","",NA
"2745","Catellatospora methionotrophica","Bacteria","Actinomycetota","Actinomycetes","Micromonosporales","Micromonosporaceae","Catellatospora",NA
"2746","Streptantibioticus ferralitis","Bacteria","Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptantibioticus",NA
"2747","Nocardioides sambongensis","Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae","Nocardioides",NA
"2748","Rhizobium sp. Root483D2","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Rhizobium",NA
"2749","Quadrisphaera granulorum","Bacteria","Actinomycetota","Actinomycetes","Kineosporiales","Kineosporiaceae","Quadrisphaera",NA
"2750","Cardiobacterium hominis","Bacteria","Pseudomonadota","Gammaproteobacteria","Cardiobacteriales","Cardiobacteriaceae","Cardiobacterium",NA
"2751","Flavobacterium hydrophilum","Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"2752","Geomonas anaerohicana","Bacteria","Thermodesulfobacteriota","Desulfuromonadia","Geobacterales","Geobacteraceae","Geomonas",NA
"2753","Saccharothrix obliqua","Bacteria","Actinomycetota","Actinomycetes","Pseudonocardiales","Pseudonocardiaceae","Saccharothrix",NA
"2754","Roseovarius salinarum","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Roseovarius",NA
"2755","Flaviaesturariibacter flavus","Bacteria","Bacteroidota","Chitinophagia","Chitinophagales","Chitinophagaceae","Flaviaesturariibacter",NA
"2756","Streptomyces adelaidensis","Bacteria","Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces",NA
"2757","Streptomyces adelaidensis","Bacteria","Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces",NA
