orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed
acylcoa[c],acylcoa,acylcoa,acylcoa[c],c,FALSE,Unchanged,FALSE
zymst[m],zymst,MNXM738369,MNXM738369[m],m,TRUE,MetanetX conversion,FALSE
fest[m],fest,fest,fest[m],m,FALSE,Unchanged,FALSE
fest[c],fest,fest,fest[c],c,FALSE,Unchanged,FALSE
sam[p],sam,sam,sam[p],p,FALSE,Unchanged,FALSE
zymst[p],zymst,MNXM738369,MNXM738369[p],p,TRUE,MetanetX conversion,FALSE
sah[p],sah,sah,sah[p],p,FALSE,Unchanged,FALSE
fest[p],fest,fest,fest[p],p,FALSE,Unchanged,FALSE
epst[c],epst,epst,epst[c],c,FALSE,Unchanged,FALSE
ergod[c],ergod,ergod,ergod[c],c,FALSE,Unchanged,FALSE
cycl[m],cycl,cycl,cycl[m],m,FALSE,Unchanged,FALSE
mecynol[m],mecynol,mecynol,mecynol[m],m,FALSE,Unchanged,FALSE
cycl[c],cycl,cycl,cycl[c],c,FALSE,Unchanged,FALSE
mecynol[c],mecynol,mecynol,mecynol[c],c,FALSE,Unchanged,FALSE
cycl[p],cycl,cycl,cycl[p],p,FALSE,Unchanged,FALSE
mecynol[p],mecynol,mecynol,mecynol[p],p,FALSE,Unchanged,FALSE
obl[c],obl,obl,obl[c],c,FALSE,Unchanged,FALSE
amt3bol[c],amt3bol,amt3bol,amt3bol[c],c,FALSE,Unchanged,FALSE
mefol[c],mefol,mefol,mefol[c],c,FALSE,Unchanged,FALSE
menol[c],menol,menol,menol[c],c,FALSE,Unchanged,FALSE
dhrol[c],dhrol,dhrol,dhrol[c],c,FALSE,Unchanged,FALSE
melol[c],melol,melol,melol[c],c,FALSE,Unchanged,FALSE
d7arol[c],d7arol,d7arol,d7arol[c],c,FALSE,Unchanged,FALSE
dhrsol[c],dhrsol,dhrsol,dhrsol[c],c,FALSE,Unchanged,FALSE
isol[c],isol,isol,isol[c],c,FALSE,Unchanged,FALSE
egteol[c],egteol,egteol,egteol[c],c,FALSE,Unchanged,FALSE
egstr[c],egstr,egstr,egstr[c],c,FALSE,Unchanged,FALSE
magly[c],magly,magly,magly[c],c,FALSE,Unchanged,FALSE
ergose[c],ergose,ergose,ergose[c],c,FALSE,Unchanged,FALSE
7dstrol[c],7dstrol,7dstrol,7dstrol[c],c,FALSE,Unchanged,FALSE
dmstrol[c],dmstrol,dmstrol,dmstrol[c],c,FALSE,Unchanged,FALSE
37oxcoa[c],37oxcoa,37oxcoa,37oxcoa[c],c,FALSE,Unchanged,FALSE
chlcoa[c],chlcoa,chlcoa,chlcoa[c],c,FALSE,Unchanged,FALSE
toxcoa[c],toxcoa,toxcoa,toxcoa[c],c,FALSE,Unchanged,FALSE
chlat[c],chlat,chlat,chlat[c],c,FALSE,Unchanged,FALSE
tbcla[c],tbcla,tbcla,tbcla[c],c,FALSE,Unchanged,FALSE
glyal[m],glyal,glyal,glyal[m],m,FALSE,Unchanged,FALSE
g[m],g,g,g[m],m,FALSE,Unchanged,FALSE
gl3p[c],gl3p,gl3p,gl3p[c],c,FALSE,Unchanged,FALSE
c201coa[c],c201coa,MNXM164619,MNXM164619[c],c,TRUE,MetanetX conversion,FALSE
c202coa[c],c202coa,c202coa,c202coa[c],c,FALSE,Unchanged,FALSE
agl3p[c],agl3p,agl3p,agl3p[c],c,FALSE,Unchanged,FALSE
pa[c],pa,MNXM145797,MNXM145797[c],c,TRUE,MetanetX conversion,FALSE
tagly[c],tagly,tagly,tagly[c],c,FALSE,Unchanged,FALSE
c181[c],c181,c181,c181[c],c,FALSE,Unchanged,FALSE
c182[c],c182,c182,c182[c],c,FALSE,Unchanged,FALSE
c183_LPAREN_6_RPAREN_[c],c183(6),c183(6),c183(6)[c],c,FALSE,Unchanged,TRUE
c201[c],c201,c201,c201[c],c,FALSE,Unchanged,FALSE
c202[c],c202,c202,c202[c],c,FALSE,Unchanged,FALSE
c204_LPAREN_6_RPAREN_[c],c204(6),c204(6),c204(6)[c],c,FALSE,Unchanged,TRUE
pc[c],pc,pc,pc[c],c,FALSE,Unchanged,FALSE
lpc[c],lpc,lpc,lpc[c],c,FALSE,Unchanged,FALSE
paa[c],paa,paa,paa[c],c,FALSE,Unchanged,FALSE
lpaa[c],lpaa,lpaa,lpaa[c],c,FALSE,Unchanged,FALSE
pdme[c],pdme,pdme,pdme[c],c,FALSE,Unchanged,FALSE
lpdme[c],lpdme,lpdme,lpdme[c],c,FALSE,Unchanged,FALSE
lpe[c],lpe,lpe,lpe[c],c,FALSE,Unchanged,FALSE
