orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed,database_sources
cpd00106__91__e0__93__,cpd00106,MNXM93,MNXM93[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00107__91__c0__93__,cpd00107,MNXM1106760,MNXM1106760[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00107__91__e0__93__,cpd00107,MNXM1106760,MNXM1106760[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00108__91__c0__93__,cpd00108,MNXM735266,MNXM735266[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00108__91__e0__93__,cpd00108,MNXM735266,MNXM735266[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00109__91__c0__93__,cpd00109,MNXM5749,MNXM5749[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00110__91__c0__93__,cpd00110,MNXM746,MNXM746[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00111__91__c0__93__,cpd00111,MNXM151,MNXM151[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00113__91__c0__93__,cpd00113,MNXM83,MNXM83[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00114__91__c0__93__,cpd00114,MNXM125,MNXM125[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00115__91__c0__93__,cpd00115,MNXM286,MNXM286[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00116__91__c0__93__,cpd00116,MNXM729799,MNXM729799[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00117__91__c0__93__,cpd00117,MNXM156,MNXM156[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00117__91__e0__93__,cpd00117,MNXM156,MNXM156[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00118__91__c0__93__,cpd00118,MNXM118,MNXM118[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00118__91__e0__93__,cpd00118,MNXM118,MNXM118[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00119__91__c0__93__,cpd00119,MNXM134,MNXM134[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00119__91__e0__93__,cpd00119,MNXM134,MNXM134[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00120__91__c0__93__,cpd00120,MNXM233,MNXM233[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00121__91__c0__93__,cpd00121,MNXM727692,MNXM727692[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00121__91__e0__93__,cpd00121,MNXM727692,MNXM727692[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00122__91__c0__93__,cpd00122,MNXM728393,MNXM728393[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00122__91__e0__93__,cpd00122,MNXM728393,MNXM728393[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00123__91__c0__93__,cpd00123,MNXM732866,MNXM732866[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00125__91__c0__93__,cpd00125,MNXM722725,MNXM722725[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00125b__91__c0__93__,cpd00125b,cpd00125b,cpd00125b[c],c,FALSE,Unchanged,TRUE,None
cpd00126__91__c0__93__,cpd00126,MNXM113,MNXM113[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00128__91__c0__93__,cpd00128,MNXM168,MNXM168[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00128__91__e0__93__,cpd00128,MNXM168,MNXM168[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00129__91__c0__93__,cpd00129,MNXM114,MNXM114[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00129__91__e0__93__,cpd00129,MNXM114,MNXM114[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00130__91__c0__93__,cpd00130,MNXM98,MNXM98[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00130__91__e0__93__,cpd00130,MNXM98,MNXM98[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00132__91__c0__93__,cpd00132,MNXM147,MNXM147[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00132__91__e0__93__,cpd00132,MNXM147,MNXM147[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00134__91__c0__93__,cpd00134,MNXM88,MNXM88[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00135__91__c0__93__,cpd00135,MNXM123,MNXM123[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00136__91__c0__93__,cpd00136,MNXM164,MNXM164[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00137__91__c0__93__,cpd00137,MNXM131,MNXM131[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00137__91__e0__93__,cpd00137,MNXM131,MNXM131[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00138__91__c0__93__,cpd00138,MNXM182,MNXM182[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00138__91__e0__93__,cpd00138,MNXM182,MNXM182[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00139__91__c0__93__,cpd00139,MNXM222,MNXM222[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00141__91__c0__93__,cpd00141,MNXM1094052,MNXM1094052[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00142__91__c0__93__,cpd00142,MNXM729594,MNXM729594[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00142__91__e0__93__,cpd00142,MNXM729594,MNXM729594[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00143__91__c0__93__,cpd00143,MNXM589160,MNXM589160[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00144__91__c0__93__,cpd00144,MNXM87,MNXM87[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00145__91__c0__93__,cpd00145,MNXM392,MNXM392[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00146__91__c0__93__,cpd00146,MNXM138,MNXM138[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00147__91__c0__93__,cpd00147,MNXM150,MNXM150[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00147__91__e0__93__,cpd00147,MNXM150,MNXM150[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00149__91__c0__93__,cpd00149,MNXM90960,MNXM90960[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00149__91__e0__93__,cpd00149,MNXM90960,MNXM90960[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00151__91__c0__93__,cpd00151,MNXM1370229,MNXM1370229[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00151__91__e0__93__,cpd00151,MNXM1370229,MNXM1370229[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00152__91__c0__93__,cpd00152,MNXM328,MNXM328[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00152__91__e0__93__,cpd00152,MNXM328,MNXM328[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00154__91__c0__93__,cpd00154,MNXM113989,MNXM113989[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00154__91__e0__93__,cpd00154,MNXM113989,MNXM113989[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00155__91__c0__93__,cpd00155,MNXM738128,MNXM738128[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00155__91__e0__93__,cpd00155,MNXM738128,MNXM738128[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00156__91__c0__93__,cpd00156,MNXM199,MNXM199[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00156__91__e0__93__,cpd00156,MNXM199,MNXM199[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00157__91__c0__93__,cpd00157,MNXM460,MNXM460[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00158__91__c0__93__,cpd00158,MNXM722749,MNXM722749[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00158__91__e0__93__,cpd00158,MNXM722749,MNXM722749[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00159__91__c0__93__,cpd00159,MNXM179,MNXM179[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00159__91__e0__93__,cpd00159,MNXM179,MNXM179[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00161__91__c0__93__,cpd00161,MNXM142,MNXM142[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00161__91__e0__93__,cpd00161,MNXM142,MNXM142[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00163__91__c0__93__,cpd00163,MNXM733447,MNXM733447[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00166__91__c0__93__,cpd00166,MNXM489,MNXM489[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00169__91__c0__93__,cpd00169,MNXM162261,MNXM162261[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00171__91__c0__93__,cpd00171,MNXM145,MNXM145[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00176__91__c0__93__,cpd00176,MNXM440,MNXM440[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00177__91__c0__93__,cpd00177,MNXM735047,MNXM735047[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00179__91__c0__93__,cpd00179,MNXM165,MNXM165[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00179__91__e0__93__,cpd00179,MNXM165,MNXM165[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00182__91__c0__93__,cpd00182,MNXM212,MNXM212[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00182__91__e0__93__,cpd00182,MNXM212,MNXM212[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00184__91__c0__93__,cpd00184,MNXM420,MNXM420[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00184__91__e0__93__,cpd00184,MNXM420,MNXM420[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00186__91__c0__93__,cpd00186,MNXM331,MNXM331[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00186__91__e0__93__,cpd00186,MNXM331,MNXM331[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00187__91__c0__93__,cpd00187,MNXM255,MNXM255[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00187__91__e0__93__,cpd00187,MNXM255,MNXM255[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00191__91__c0__93__,cpd00191,MNXM1369747,MNXM1369747[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00193__91__c0__93__,cpd00193,MNXM287,MNXM287[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00193b__91__c0__93__,cpd00193b,cpd00193b,cpd00193b[c],c,FALSE,Unchanged,TRUE,None
cpd00196__91__c0__93__,cpd00196,MNXM280,MNXM280[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00197__91__c0__93__,cpd00197,MNXM204,MNXM204[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00197__91__e0__93__,cpd00197,MNXM204,MNXM204[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00198__91__c0__93__,cpd00198,MNXM186,MNXM186[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00199__91__c0__93__,cpd00199,MNXM172,MNXM172[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00200__91__c0__93__,cpd00200,MNXM404,MNXM404[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00201__91__c0__93__,cpd00201,MNXM237,MNXM237[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00202__91__c0__93__,cpd00202,MNXM132,MNXM132[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
