orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed,database_sources
m0340__91__c0__93__,m0340,MNXM729594,MNXM729594[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0341__91__c0__93__,m0341,MNXM465,MNXM465[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0342__91__c0__93__,m0342,MNXM1177,MNXM1177[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0343__91__c0__93__,m0343,MNXM388,MNXM388[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0344__91__m0__93__,m0344,MNXM63,MNXM63[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0345__91__c0__93__,m0345,MNXM436,MNXM436[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0346__91__c0__93__,m0346,MNXM63,MNXM63[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0347__91__c0__93__,m0347,MNXM736942,MNXM736942[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0348__91__c0__93__,m0348,MNXM546,MNXM546[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0349__91__c0__93__,m0349,MNXM162261,MNXM162261[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0350__91__m0__93__,m0350,MNXM405,MNXM405[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0351__91__c0__93__,m0351,MNXM733142,MNXM733142[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0352__91__c0__93__,m0352,MNXM114,MNXM114[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0353__91__c0__93__,m0353,MNXM295,MNXM295[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0354__91__c0__93__,m0354,MNXM152,MNXM152[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0355__91__c0__93__,m0355,MNXM1091763,MNXM1091763[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed, kegg"
m0356__91__c0__93__,m0356,MNXM732154,MNXM732154[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0357__91__m0__93__,m0357,MNXM346,MNXM346[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0358__91__c0__93__,m0358,MNXM597,MNXM597[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0359__91__c0__93__,m0359,MNXM266,MNXM266[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0360__91__c0__93__,m0360,MNXM665,MNXM665[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0361__91__c0__93__,m0361,MNXM1219,MNXM1219[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0362__91__c0__93__,m0362,MNXM726339,MNXM726339[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0363__91__c0__93__,m0363,MNXM192,MNXM192[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0364__91__e0__93__,m0364,MNXM726339,MNXM726339[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0365__91__c0__93__,m0365,MNXM108,MNXM108[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0366__91__e0__93__,m0366,MNXM113989,MNXM113989[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0367__91__c0__93__,m0367,MNXM323,MNXM323[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0368__91__e0__93__,m0368,MNXM192,MNXM192[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0369__91__e0__93__,m0369,MNXM128,MNXM128[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0370__91__m0__93__,m0370,MNXM114,MNXM114[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0371__91__c0__93__,m0371,MNXM128,MNXM128[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0372__91__m0__93__,m0372,MNXM192,MNXM192[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0373__91__e0__93__,m0373,MNXM114,MNXM114[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0374__91__c0__93__,m0374,MNXM727218,MNXM727218[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
